,시도교육청,자료명,"파일명(활동명, 자료제목)",자료유형,활동 유형,학교급,시간(차시),과목명,환경교육역량,장소,환경주제,SDGs목표,교수학습방법,성취기준
208,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_9,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경, 국어",환경 정보 활용 능력,일반교실,환경문화,지속가능한 생산과 소비,"조사, 토의와 토론","[12매의01-07] 매체 자료의 생산자이자 수용자로서 권리와 책임을 인식하고 사회적 가치와 문제에 대해 소통한다.
[12생환03-03] 자원과 에너지, 폐기물 등과 관련된 국내외 환경 문제와 쟁점을 시차성 및 유한성 등과 관련지어 데이터를 기반으로 심층 탐구하고, 개인 및 사회 차원의 합리적 의사 결정에 적용한다.
[10통사1-03-03] 환경 문제 해결을 위한 정부, 시민사회, 기업 등의 다양한 노력을 조사하고, 생태시민으로서 실천 방안을 모색한다."
209,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_10,학생용 교재,교육과정 연계,고등학교,1,"사회, 환경, 도덕",협동과공동체 역량,일반교실,환경문화,지속가능한 생산과 소비,"조사, 토의와 토론","[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다.
[12기지04-02] 지속가능한 세계는 개인의 일상생활 방식과 관련되어 있음을 이해하고, 다양한 소비 영역에서 요구되는 지속가능한 생활방식을 탐색하고 실천 방안을 제안한다.
[12생윤04-01] 직업 생활과 관련된 윤리적 쟁점들을 탐구하고, 기업의 사회적 책임과 노동자의 권리에 대한 윤리적 입장을 비교·분석한다."
210,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_11,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경, 도덕","협동과공동체 역량, 창의적 문제해결 역량",일반교실,환경문화,지속가능한 생산과 소비,"토의와 토론, 조사","[12세지07-03] 자원과 산업, 무역의 공간적 불균등에 따른 세계 경제적 차이를 파악하고, 이를 완화하기 위한 국제적 협력과 대안적 발전 방안을 조사한다.
[12생윤06-03] 지구촌의 빈곤과 기아 문제를 해결하기 위한 원조의 윤리적 의무를 이해하고, 정의로운 분배를 실현하기 위한 국제적 노력을 탐구한다.
[10통사1-04-02] 인권 보장을 위한 다양한 제도적 장치와 활동을 파악하고, 일상생활에서 인권 침해 사례를 찾아 해결 방안을 제안한다.
[10통사1-05-02] 노동의 의미와 중요성을 이해하고, 헌법에 보장된 근로자의 권리를 파악하여 노동권 침해 사례의 해결 방안을 모색한다.
[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다."
211,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_12,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경","환경 정보 활용 능력, 창의적 문제해결 역량",일반교실,환경문화,지속가능한 생산과 소비,"조사, 토의와 토론","[10통사1-03-03] 환경 문제 해결을 위한 정부, 시민사회, 기업 등의 다양한 노력을 조사하고, 생태시민으로서 실천 방안을 모색한다.
[12사탐01-03] 사회문제의 의미와 특징을 도출하고, 사회문제 탐구 과정에서 지켜야 할 연구 윤리를 파악한다.
[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다."
212,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_13,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경",해당 없음,일반교실,환경문화,해당 없음,놀이,"[10통사1-03-03] 환경 문제 해결을 위한 정부, 시민사회, 기업 등의 다양한 노력을 조사하고, 생태시민으로서 실천 방안을 모색한다.
[12기지02-03] 기후정의의 관점에서 기후변화에 따른 불평등 문제의 해결 방안을 모색하고, 기후변화에 대한 인간의 책임과 의무에 대해 성찰한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다."
213,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_14,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경, 국어","환경 정보 활용 능력, 창의적 문제해결 역량",일반교실,환경문화,평화롭고 정의롭고 포용적인 제도 구축,조사,"[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다.
[12매의01-07] 매체 자료의 생산자이자 수용자로서 권리와 책임을 인식하고 사회적 가치와 문제에 대해 소통한다."
214,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_15,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경, 기타",협동과공동체 역량,일반교실,환경문화,목표를 위한 파트너십,"조사, 토의와 토론","[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다.
[12사탐01-03] 사회문제의 의미와 특징을 도출하고, 사회문제 탐구 과정에서 지켜야 할 연구 윤리를 파악한다.
[12진로02-04] 변화하는 직업 세계와 미래 사회의 특징을 이해하고, 창업 및 창직 등 다양한 진로 경로를 탐색한다."
215,광주,알아두면 쓸모있는 청소년 ESG,광주_알아두면 쓸모있는 청소년 ESG_16,학생용 교재,"기타, 실천문화 조성",고등학교,1,"사회, 환경, 도덕","협동과공동체 역량, 환경 정보 활용 능력",일반교실,환경문화,목표를 위한 파트너십,"조사, 토의와 토론","[12생환05-01] 지속가능발전목표(SDGs)를 분석하고, 행복한 삶의 기준에 대한 토론을 통해 지속가능한 사회를 만드는 다양한 방안을 탐색한다.
[10통사1-05-04] 시장 경제의 원활한 작동과 발전을 위해 요구되는 정부, 기업가, 노동자, 소비자의 역할을 파악하고, 책임 있는 경제 주체의 자세를 모색한다.
[12사탐02-04] 사회문제 해결을 위한 다양한 쟁점을 파악하고, 개인적·사회적 차원의 해결 방안을 모색한다."
216,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_1,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"과학, 환경",시스템 사고,일반교실,지구환경,기후변화,강의,"[9환04-01] 지구 역사와 함께 기후가 어떻게 변화해 왔고 전망되는지 이해하고 현재의 기후 위기 상황을 인식한다.
[9환04-03] 온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다.
[9과17-01] 지구 대기권을 4개 권역으로 구분하며, 온실효과와 지구온난화를 복사 평형의 관점으로 설명할 수 있다.
[12생환04-01] 현재의 기후변화를 기후위기라고 하는 이유를 기후 시스템의 급변점(Tiping point) 및 인류세 개념 등과 연결지어 탐구한다.
[12생환04-04] 기후변화 미래 시나리오를 살펴보고 희망하는 미래를 위해 어떤 경로를 선택해야 할지 토의하며, 기후변화 대응을 위한 사회적, 경제적, 정치적, 기술적 제안과 사례를 탐구한다.
[12기환02-04]: 기후변화 시나리오에 따른 미래 생태계 변화 예측 보고서를 찾아보고, 미래의 기후와 생태계의 변화 양상을 추론할 수 있다."
217,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_2,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"과학, 사회, 환경",시스템 사고,일반교실,지구환경,기후변화,강의,"[9환04-02] 생물 다양성 감소 등 기후변화의 영향과 피해, 갈등과 불평등에 관한 사례를 탐구하고, 사람과 자연이 겪는 고통에 공감하며 지구 공동체의 관점에서 기후변화 피해를 줄이는 방법을 토의한다.
[9사(지리)01-02] 다양한 스케일에서 지역이 서로 연계되어 있음을 공간적 상호 작용의 사례를 통해 파악한다.
[9과17-04] 기압, 기단, 전선의 개념을 이해하고, 일기도에서 저기압과 고기압의 분포에 따른 날씨를 해석할 수 있다.
[12기환03-02] 기후변화에 따라 가속화되는 사막화, 대형산불, 지역적 가뭄과 홍수 등을 이해하고, 이를 극복하기 위한 인류의 노력에 대해 토의할 수 있다.
[12기환02-03] 극한 기상 현상의 종류와 원인을 이해하고 극한 기상 현상이 환경생태에 미친 영향을 사례를 들어 설명할 수 있다.
[12기지02-01] 세계 여러 지역에서 발생하고 있는 기후재난의 실제를 파악하고, 이를 둘러싼 쟁점을 다양한 자료를 통하여 분석한다.
[12지구01-04] 태풍의 발생, 이동, 소멸 과정 및 태풍 영향권에서 날씨를 예측하고, 뇌우, 집중호우, 폭설, 강풍, 황사 등 주요 악기상의 생성 메커니즘과 대처 방안을 제시할 수 있다."
218,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_3,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"과학, 사회, 환경","환경 정보 활용 능력, 시스템 사고",일반교실,지구환경,기후변화,"조사, 강의","[9환04-03] 온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다.
[9과17-01] 지구 대기권을 4개 권역으로 구분하며, 온실효과와 지구온난화를 복사 평형의 관점으로 설명할 수 있다.
[9사(지리)01-03] 세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미치는 사례를 조사한다.
[12기환03-01] 산호의 멸종으로 인한 백화현상의 예를 통해 기후변화가 해양생태계에 미치는 영향을 살펴보고, 바다 사막화를 예방하거나 복원할 수 있는 과학기술의 사례를 제시할 수 있다.
[12기환02-02] 빙상의 융해와 열팽창으로 인한 해수면 상승을 기후변화와 연계하여 설명할 수 있다.
[12기환04-03] 온실가스 배출 현황을 인간 활동의 사회적, 경제적, 정치적, 기술적 측면과 연결지어 탐구하여 기후변화의 원인을 다층적으로 인식한다."
219,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_4,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"사회, 과학, 환경, 실과","창의적 문제해결 역량, 협동과공동체 역량",일반교실,지구환경,"기후변화, 지속가능한 생산과 소비","해설, 조사, 토의와 토론","[9기가03-10] 친환경 에너지 자원의 특성을 이해하고, 종류와 활용 사례를 조사하여 친환경 에너지 개발의 중요성을 인식한다.
[9환03-02] 신·재생 에너지, 핵발전, 자원 재활용과 쓰레기 처리 등 에너지 이용 및 자원 순환과 관련된 문제를 탐구하는 과정을 계획하여 수행하고, 관련된 요소 간의 상호 작용을 분석한다.
[9사(일사)12-03] 사회 변동과 사회문제에 대응하는 국내외의 사례들을 검토하고, 시민으로서 지녀야 할 태도와 실천 방안에 대해 토의한다.
[12인경04-03] 탄소 배출을 둘러싼 선진국과 개발 도상국의 경제 정책을 비교･평가하여 기후변화에 대응하여 지속가능한 발전을 이룰 수 있는 방안을 탐색한다.
[12기환03-03] 탄소중립 사회를 이루기 위한 탄소 저감 관련 과학기술 개발 현황을 알아보고, 이의 적용 사례를 제시할 수 있다.
[12기지01-02] 기후변화는 자연적 요인뿐만 아니라 인간의 다양한 활동 및 산업과 관련되어 있다는 점을 이해하고, 탄소중립을 위한 사회 변화의 방향을 탐구한다."
220,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_5,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"사회, 과학, 환경, 기타","환경 정보 활용 능력, 협동과공동체 역량",일반교실,지구환경,"기후변화, 건강한 삶과 웰빙","해설, 조사, 토의와 토론","[9사(지리)01-02] 다양한 스케일에서 지역이 서로 연계되어 있음을 공간적 상호 작용의 사례를 통해 파악한다.
[9환04-02] 생물 다양성 감소 등 기후변화의 영향과 피해, 갈등과 불평등에 관한 사례를 탐구하고, 사람과 자연이 겪는 고통에 공감하며 지구 공동체의 관점에서 기후변화 피해를 줄이는 방법을 토의한다.
[9보05-03] 기후변화와 건강의 관계를 탐색하고, 지속가능한 사회를 위한 개인과 공동체의 건강 옹호 활동을 탐구하고 실천한다.
[12기지02-03] 기후정의의 관점에서 기후변화에 따른 불평등 문제의 해결 방안을 모색하고, 기후변화에 대한 인간의 책임과 의무에 대해 성찰한다.
[12기환02-08] 모기나 파리와 같은 곤충 매개 감염병이 새롭게 출현하거나 급격히 확산되는 현상을 기후변화와 연계하여 설명할 수 있다.
[12생환04-02] 생물다양성 감소와 삶의 질 저하 등 기후변화로 인한 영향과 피해의 구체적인 사례를 탐구하여 기후변화 취약성, 기후정의와 연결지어 인식한다.
[12보건05-04] 기후변화가 건강에 미치는 영향을 탐색하고, 지속가능한 사회를 위한 개인･국가･세계의 협력과 연대, 옹호 활동의 실천 방안을 탐색한다."
221,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_6,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 사회, 실과",시스템 사고,일반교실,"지구환경, 생활환경","기아종식, 기후변화","강의, 토의와 토론","[9사(지리)12-01] 우리나라 주요 식량 자원 및 에너지 자원의 소비 현황과 수입국 현황을 분석하여 이와 관련된 문제를 파악하고, 자원의 지속가능한 확보 방안을 모색한다.
[9사(지리)08-02] 우리나라의 계절별, 지역별 기후 특성 및 변화 양상을 파악하고, 기후변화에 대한 지역별 대응 노력을 조사한다.
[9기가02-03] 건강과 환경을 고려한 식품의 선택, 관리, 보관 방법을 탐색하여 실생활에 적용한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다."
222,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_7,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 과학, 사회, 실과","창의적 문제해결 역량, 환경 정보 활용 능력",일반교실,지구환경,"지속가능한 에너지, 기후변화","강의, 조사","[9기가03-10] 친환경 에너지 자원의 특성을 이해하고, 종류와 활용 사례를 조사하여 친환경 에너지 개발의 중요성을 인식한다.
[9환03-02] 신·재생 에너지, 핵발전, 자원 재활용과 쓰레기 처리 등 에너지 이용 및 자원 순환과 관련된 문제를 탐구하는 과정을 계획하여 수행하고, 관련된 요소 간의 상호 작용을 분석한다.
[9사(지리)12-01] 우리나라 주요 식량 자원 및 에너지 자원의 소비 현황과 수입국 현황을 분석하여 이와 관련된 문제를 파악하고, 자원의 지속가능한 확보 방안을 모색한다.
[12한탐04-04] 우리나라의 에너지원별 발전에 관한 주요 쟁점을 조사하고, 탄소중립 달성을 위한 에너지 정책을 제안한다.
[10통과2-02-06] 에너지 효율의 의미와 중요성을 이해하고, 지속가능한 발전과 지구 환경 문제 해결에 신재생 에너지 기술을 활용하는 방안을 탐색할 수 있다.
[12세지04-01] 세계 주요 에너지 자원의 생산과 소비 현황을 조사하고, 다양한 친환경 에너지원의 특징에 대한 이해를 바탕으로 지속가능한 에너지 생산 방안을 제시한다.
[12기환03-03] 탄소중립 사회를 이루기 위한 탄소 저감 관련 과학기술 개발 현황을 알아보고, 이의 적용 사례를 제시할 수 있다."
223,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_8,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 과학, 실과","환경감수성, 시스템 사고",일반교실,"지구환경, 생활환경",해양생태계,"강의, 조사","[9환01-01] 일상생활이 환경에 미치는 영향과 환경이 일상생활에 미치는 영향을 조사하여 인간과 환경의 관계를 탐색하고, 환경에 대한 우리의 역할과 책임을 인식한다.
[9과02-05] 생물 다양성 보전의 필요성을 이해하고, 생물 다양성 유지를 위한 방안을 조사하고 실천할 수 있다.
[12기환03-01] 산호의 멸종으로 인한 백화현상의 예를 통해 기후변화가 해양생태계에 미치는 영향을 살펴보고, 바다 사막화를 예방하거나 복원할 수 있는 과학기술의 사례를 제시할 수 있다.
[12화실04-05] 벤젠, 나프탈렌 등 방향족 탄화수소의 구조와 성질을 설명할 수 있다.
[12생환04-02] 생물다양성 감소와 삶의 질 저하 등 기후변화로 인한 영향과 피해의 구체적인 사례를 탐구하여 기후변화 취약성, 기후정의와 연결지어 인식한다.
[12기가02-03] 소비자의 안전을 위협하는 다양한 문제를 비판적으로 성찰하여 소비자 시민성을 반영한 소비생활을 실천한다."
224,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_9,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 사회, 실과",시스템 사고,일반교실,"생활환경, 지구환경",지속가능한 생산과 소비,"조사, 토의와 토론","[9기가02-06] 지속가능성을 고려하여 의복 마련 계획을 세우고, 이를 창의적이고 친환경적인 의생활에 적용한다.
[9기가02-10] 의식주 생활자원의 생산과 폐기 과정을 탐색하고, 일상생활에서 의식주 생활자원을 선택하는 과정과 그 결과를 성찰한다.
[9환01-01] 일상생활이 환경에 미치는 영향과 환경이 일상생활에 미치는 영향을 조사하여 인간과 환경의 관계를 탐색하고, 환경에 대한 우리의 역할과 책임을 인식한다.
[12기가01-04] 의생활문화에 반영된 미래 변화의 요소를 발견하고 이를 비판적으로 수용하여 삶의 질을 높이며 지속가능한 의생활 문화를 제안한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다.
[10통사1-03-03] 환경 문제 해결을 위한 정부, 시민사회, 기업 등의 다양한 노력을 조사하고, 생태시민으로서 실천 방안을 모색한다."
225,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_10,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 사회, 실과",시스템 사고,일반교실,"생활환경, 지구환경","지속가능한 생산과 소비, 기후변화",조사,"[9기가02-05] 의복 재료의 특성을 이해하고 건강과 환경을 고려한 의복의 세탁과 관리 방안을 탐색하여 실천한다.
[9기가02-06] 지속가능성을 고려하여 의복 마련 계획을 세우고, 이를 창의적이고 친환경적인 의생활에 적용한다.
[9환04-03] 온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다.
[12생환04-03] 온실가스 배출 현황을 인간 활동의 사회적, 경제적, 정치적, 기술적 측면과 연결지어 탐구하여 기후변화의 원인을 다층적으로 인식한다.
[10통사2-05-02] 지구적 차원에서 에너지 자원의 분포와 소비 실태를 파악하고, 기후변화에 대한 대응과 지속가능한 발전을 위한 제도적 방안과 개인적 노력을 탐구한다."
226,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_11,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 과학, 실과, 수학, 사회",환경 정보 활용 능력,일반교실,"지구환경, 생활환경",기후변화,"강의, 조사","[9기가02-14] 디지털 생활환경으로 나타난 일상생활의 혁신과 변화를 비판적으로 분석한 결과를 삶의 질 향상에 활용할 수 있는 방안을 탐색하여 제안한다.
[9환05-01] 지속가능성의 의미를 이해하여 주거, 교통, 먹거리, 소비 등 일상생활에서 지속가능발전의 사례를 찾아보고, 창의적·개방적 태도로 지속가능한 미래 모습을 구상해 보며 자신의 견해를 제시한다.
[12수문04-02] 대기 오염과 관련된 문제를 수학적으로 분석하고 이를 개선하기 위한 방법을 제안할 수 있다.
[10통사2-05-02] 지구적 차원에서 에너지 자원의 분포와 소비 실태를 파악하고, 기후변화에 대한 대응과 지속가능한 발전을 위한 제도적 방안과 개인적 노력을 탐구한다."
227,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_12,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 실과, 사회",시스템 사고,일반교실,생활환경,"지속가능한 생산과 소비, 지속가능한 도시개발","강의, 조사","[9환03-02] 신·재생 에너지, 핵발전, 자원 재활용과 쓰레기 처리 등 에너지 이용 및 자원 순환과 관련된 문제를 탐구하는 과정을 계획하여 수행하고, 관련된 요소 간의 상호 작용을 분석한다.
[9기가02-10] 의식주 생활자원의 생산과 폐기 과정을 탐색하고, 일상생활에서 의식주 생활자원을 선택하는 과정과 그 결과를 성찰한다.
[12기지03-04] 기후변화에 대응하기 위한 적정기술과 순환경제의 역할의 중요성을 파악하고, 에너지 전환의 중요성에 대한 이해를 바탕으로 지속가능한 세계의 모습을 제안한다.
[12생환03-03] 자원과 에너지, 폐기물 등과 관련된 국내외 환경 문제와 쟁점을 시차성 및 유한성 등과 관련지어 데이터를 기반으로 심층 탐구하고, 개인 및 사회 차원의 합리적 의사 결정에 적용한다."
228,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_13,"학생용 활동지, 학생용 교재","교육과정 연계, 실천문화 조성","중학교, 고등학교",1,"환경, 사회","협동과공동체 역량, 창의적 문제해결 역량",일반교실,"지구환경, 환경문화",목표를 위한 파트너십,"강의, 조사","[9환04-05] 학교와 지역에서 실천할 수 있는 기후 행동을 계획하고 참여하며 그 결과를 성찰한다.
[9사(일사)12-03] 사회 변동과 사회문제에 대응하는 국내외의 사례들을 검토하고, 시민으로서 지녀야 할 태도와 실천 방안에 대해 토의한다.
[12생환05-02] 지구 공동체의 관점에서 생태시민의 역할과 책무에 대해 이해하고, 이를 통해 비인간 존재와 미래 세대에 대한 배려와 책임감을 기르며 자신의 삶에서 적용할 수 있는 방안을 찾아 실천한다.
[10통사1-03-03] 환경 문제 해결을 위한 정부, 시민사회, 기업 등의 다양한 노력을 조사하고, 생태시민으로서 실천 방안을 모색한다.
[12기지04-03] 정의, 책임 그리고 배려 등과 같은 생태시민의 덕목을 사례 탐구를 통해 이해하고, 인간 및 비인간이 함께 평화롭게 살아가는 공존의 세계를 위한 다층적 스케일에서의 실천 방안을 찾아 적극적으로 참여한다."
229,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_14,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 사회, 실과, 수학","시스템 사고, 환경 정보 활용 능력",일반교실,생활환경,"건강한 삶과 웰빙, 기후변화","조사, 강의","[9기가02-04] 개인과 가족의 영양 요구와 지속가능성을 충족하는 식사를 계획하고 조리한다.
[9환04-03] 온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다.
[12수문04-02] 대기 오염과 관련된 문제를 수학적으로 분석하고 이를 개선하기 위한 방법을 제안할 수 있다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다.
[12기가01-03] 식생활문화에 반영된 미래 변화의 요소를 발견하고 이를 비판적으로 수용하여 식생활 문제를 개선하고 건강한 식생활 문화를 실천한다."
230,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_15,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 실과",시스템 사고,일반교실,생활환경,"지속가능한 생산과 소비, 기후변화",강의,"[9기가02-10] 의식주 생활자원의 생산과 폐기 과정을 탐색하고, 일상생활에서 의식주 생활자원을 선택하는 과정과 그 결과를 성찰한다.
[9환03-02] 신·재생 에너지, 핵발전, 자원 재활용과 쓰레기 처리 등 에너지 이용 및 자원 순환과 관련된 문제를 탐구하는 과정을 계획하여 수행하고, 관련된 요소 간의 상호 작용을 분석한다.
[12생환03-03] 자원과 에너지, 폐기물 등과 관련된 국내외 환경 문제와 쟁점을 시차성 및 유한성 등과 관련지어 데이터를 기반으로 심층 탐구하고, 개인 및 사회 차원의 합리적 의사 결정에 적용한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다.
[12기가01-03] 식생활문화에 반영된 미래 변화의 요소를 발견하고 이를 비판적으로 수용하여 식생활 문제를 개선하고 건강한 식생활 문화를 실천한다."
231,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_16,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 실과","시스템 사고, 협동과공동체 역량",일반교실,"생활환경, 환경문화","지속가능한 생산과 소비, 육상생태계","창작, 조사, 토의와 토론","[9기가02-04] 개인과 가족의 영양 요구와 지속가능성을 충족하는 식사를 계획하고 조리한다.
[9환04-03] 온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다.
[9환04-02] 생물 다양성 감소 등 기후변화의 영향과 피해, 갈등과 불평등에 관한 사례를 탐구하고, 사람과 자연이 겪는 고통에 공감하며 지구 공동체의 관점에서 기후변화 피해를 줄이는 방법을 토의한다.
[12기가01-03] 식생활문화에 반영된 미래 변화의 요소를 발견하고 이를 비판적으로 수용하여 식생활 문제를 개선하고 건강한 식생활 문화를 실천한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다."
232,광주,지구를 위한 마지막 시간,광주_지구를 위한 마지막 시간_17,"학생용 활동지, 학생용 교재",교육과정 연계,"중학교, 고등학교",1,"환경, 사회, 기타, 실과","시스템 사고, 환경감수성",일반교실,"생활환경, 지구환경","지속가능한 생산과 소비, 건강한 삶과 웰빙","조사, 토의와 토론","[9사(지리)12-01] 우리나라 주요 식량 자원 및 에너지 자원의 소비 현황과 수입국 현황을 분석하여 이와 관련된 문제를 파악하고, 자원의 지속가능한 확보 방안을 모색한다.
[9기가02-03] 건강과 환경을 고려한 식품의 선택, 관리, 보관 방법을 탐색하여 실생활에 적용한다.
[9환05-01] 지속가능성의 의미를 이해하여 주거, 교통, 먹거리, 소비 등 일상생활에서 지속가능발전의 사례를 찾아보고, 창의적·개방적 태도로 지속가능한 미래 모습을 구상해 보며 자신의 견해를 제시한다.
[12세지04-02] 세계 주요 환경 문제의 유형과 실태를 설명하고, 생태 전환적 삶에 비추어 현재의 생활방식을 비판적으로 점검한다.
[12생환05-03] 음식, 주거, 교통, 생산과 소비 등에서 지속가능한 삶의 양식을 조사하고, 환경 정의 측면에서 지역, 국가, 국제 수준의 연대와 협력 활동을 살펴보며, 지속가능한 미래를 위한 개인적 사회적 차원의 활동에 주체적으로 참여한다.
[12기가01-03] 식생활문화에 반영된 미래 변화의 요소를 발견하고 이를 비판적으로 수용하여 식생활 문제를 개선하고 건강한 식생활 문화를 실천한다."
